id,n_points,mean_step_m,median_step_m,mean_speed_mps,dwell_points
Abba,2134,0.0,0.0,0.0,2132
Alfie,2128,0.0,0.0,0.0,2126
Amber,2005,0.050326030071425734,0.0,0.0001677534335714191,2003
Ares,2003,0.0,0.0,0.0,2001
Athena,2004,0.0,0.0,0.0,2002
Balu,2072,0.0034286833192081383,0.0034353183913211384,1.142894439736046e-05,2070
Barney,2089,0.02320129761640345,0.0,7.733765872134481e-05,2087
Beanie,2122,0.0,0.0,0.0,2120
Bear,2055,0.029372720310767233,0.0,9.790906770255744e-05,2053
Bella,2347,0.04224860701106561,0.015763730850703928,0.00014082869003688534,2345
Binky,1901,0.0,0.0,0.0,1899
Bits,573,0.17030781493817065,0.008846679685013814,0.0005676927164605688,571
Bobs,2062,0.0,0.0,0.0,2060
Boots,1762,0.0,0.0,0.0,1760
Bumbles,1981,0.030248445015136866,0.04299491034648231,0.00010082815005045622,1979
CJ,1404,0.0,0.0,0.0,1402
Carbonel,2038,0.0,0.0,0.0,2036
Carrots,2233,0.0,0.0,0.0,2231
Casper,2066,0.0,0.0,0.0,2064
Charlie,1801,0.0,0.0,0.0,1799
Charlie2,1717,0.27251947736901116,0.0913038292384705,0.0009083982578967039,1715
Charlie3,1721,0.0,0.0,0.0,1719
Chloe,1920,0.011111584529612308,0.0,3.703861509870769e-05,1918
Coco,2086,0.0,0.0,0.0,2084
Dexter,2089,0.1092030005198666,0.08958944890517503,0.0003640100017328887,2087
Dexter2,1580,0.02099581123255848,0.0,6.99860374418616e-05,1578
Dory,2005,0.0,0.0,0.0,2003
Ebby,2005,0.0,0.0,0.0,2003
Ernie,2028,0.0,0.0,0.0,2026
Fairclough,2010,0.0,0.0,0.0,2008
Felix,1150,0.0,0.0,0.0,1148
Flash,1856,0.0,0.0,0.0,1854
Fonzie,2102,0.0,0.0,0.0,2100
Frank,2005,0.0,0.0,0.0,2003
Frank_2,2104,0.0,0.0,0.0,2102
Freya,2021,0.0,0.0,0.0,2019
Friday,1614,0.0129019161728879,0.013331704221309531,4.3006387242959664e-05,1612
Ginge,2531,0.0,0.0,0.0,2529
Gracie,1567,0.4342326686414402,0.04988714570640214,0.001447442228804801,1563
Gracie_2,1619,0.15034641122460862,0.00654605054677603,0.0005011547040820288,1617
Guinness,1225,0.0,0.0,0.0,1223
Henry,2005,0.18341133105236002,0.09252863063605174,0.0006113711035078667,2003
Indie,2119,0.5491662055471666,0.08822023621045266,0.001830554018490555,2114
Jago,1712,0.0,0.0,0.0,1710
Jago2,2229,0.0,0.0,0.0,2227
Jasper,2010,0.0,0.0,0.0,2008
Jessie,8341,0.0,0.0,0.0,8339
Jessy,147,0.3701542299306083,0.0,0.0012338474331020277,145
Jezebel,2090,0.0,0.0,0.0,2088
Jim,1881,0.0,0.0,0.0,1879
Johnny,854,0.0,0.0,0.0,852
Keegan,1892,0.0,0.0,0.0,1890
Lady T,2185,0.0,0.0,0.0,2183
Ladyboyhawke,1478,0.0,0.0,0.0,1476
Lightening Bugg,1476,0.0,0.0,0.0,1474
Lily,2183,0.0,0.0,0.0,2181
Lola,1822,0.05116817927822201,0.05481010713755225,0.00017056059759407337,1820
Lucy,2025,0.0,0.0,0.0,2023
Macaulay Mccat,7895,0.0014406691464296977,0.0,4.802230488098992e-06,7893
Maggie,2212,0.02309063717770725,0.0,7.69687905923575e-05,2210
Magic,193,0.8367409621815375,0.18380038233449736,0.0027891365406051247,190
Marley,1547,0.0,0.0,0.0,1545
Maverick,2402,0.0,0.0,0.0,2400
Max,1780,0.5726191051092643,0.5145467171072458,0.0019087303503642146,1775
Maxwell,2916,0.0,0.0,0.0,2914
Meg,2011,0.01599558548580513,0.0,5.331861828601709e-05,2009
Merlin,1908,0.14364427868855317,0.2067388457702896,0.0004788142622951773,1906
Mifty,2011,1.4522552424897655,0.42346952834411544,0.004840850808299217,2000
Millie,1999,0.1812001520273935,0.0,0.0006040005067579784,1997
Missy,2014,0.4773634495348132,0.0,0.0015912114984493774,2012
Morpheus,2372,0.0,0.0,0.0,2370
Moscow,2032,0.0,0.0,0.0,2030
Neil,1964,0.0,0.0,0.0,1962
Nettle,2004,0.0,0.0,0.0,2002
Neva,2294,0.0,0.0,0.0,2292
Pants,1557,0.0,0.0,0.0,1555
Poppet,1966,0.17995052122493263,0.2911711931254486,0.0005998350707497753,1964
Pussy,2197,0.0042815975142756054,0.0,1.4271991714252015e-05,2195
Reggie,2014,0.0,0.0,0.0,2012
Roger,2003,0.0,0.0,0.0,2001
Rusty,1996,1.4887521409510225,0.4430660360009,0.004962507136503408,1982
Seb,1622,0.020194171035846493,0.0,6.731390345282164e-05,1620
Siberia,2005,0.0,0.0,0.0,2003
Sid,2128,0.0,0.0,0.0,2126
Skye,2099,0.0,0.0,0.0,2097
SmokeyLongnose,2030,0.07218412355286931,0.014734600264513145,0.00024061374517623103,2028
Smudge,2041,0.0546762358510615,0.055686231185142154,0.00018225411950353832,2039
Smudge_2,2022,0.0,0.0,0.0,2020
Sparky,2009,0.0,0.0,0.0,2007
Spike,2100,0.09809157994979907,0.11792338195246511,0.0003269719331659969,2098
Spot,1780,0.0,0.0,0.0,1778
Teddy,936,0.15518740656784524,0.0,0.0005172913552261508,934
Tigger,2025,0.0,0.0,0.0,2023
Tilly,2035,0.013626143692226474,0.013871659786913581,4.5420478974088245e-05,2033
Tipsy,1947,0.0,0.0,0.0,1945
Tom,2349,0.05059866629390934,0.05457310288530273,0.00016866222097969782,2347
Tommy,2030,0.0,0.0,0.0,2028
Whiskey,2042,0.029143519248577898,0.016379648256036793,9.714506416192632e-05,2040
Wilfred,2020,0.03594245300880383,0.0,0.00011980817669601276,2018
Winnie,2006,0.10184305572988848,0.09987801706217567,0.00033947685243296163,2004
Worf,1583,0.23242518744837873,0.29605183876486085,0.000774750624827929,1581
